## taxon_id	STRING_type	STRING_name_compact	official_name_NCBI
1005090	periphery	Buchnera aphidicola Ak	Buchnera aphidicola str. Ak
1005395	periphery	Pseudomonas putida CSV86	Pseudomonas putida CSV86
1005704	periphery	Streptococcus oralis SK255	Streptococcus oralis SK255
1005705	periphery	Streptococcus infantis SK1076	Streptococcus infantis SK1076
1005962	core	Ogataea parapolymorpha	Ogataea parapolymorpha
1005994	core	Trabulsiella guamensis	Trabulsiella guamensis ATCC49490
1005995	periphery	Tatumella ptyseos	Tatumella ptyseos ATCC33301
1005999	core	Leminorella grimontii	Leminorella grimontii ATCC33999
1006000	core	Kluyvera ascorbata	Kluyvera ascorbata ATCC33433
1006004	core	Buttiauxella agrestis	Buttiauxella agrestis ATCC33320
1006006	periphery	Metallosphaera cuprina	Metallosphaera cuprina Ar-4
1006581	periphery	Mycoplasma gallisepticum S6	Mycoplasma gallisepticum S6
1007096	periphery	Oscillibacter ruminantium	Oscillibacter ruminantium GH1
1007103	core	Paenibacillus elgii	Paenibacillus elgii B69
1007104	periphery	Sphingomonas sp. S17	Sphingomonas sp. S17
1007105	core	Pusillimonas sp. T77	Pusillimonas sp. T7-7
1008453	periphery	Streptococcus mitis SK1080	Streptococcus mitis SK1080
1008457	periphery	Myroides injenensis	Myroides injenensis M09-0166
1008459	periphery	Taylorella asinigenitalis	Taylorella asinigenitalis MCE3
1009370	core	Acetonema longum	Acetonema longum DSM6540
1009858	periphery	Buchnera aphidicola G002	Buchnera aphidicola str. G002
1026882	periphery	Methylophaga aminisulfidivorans	Methylophaga aminisulfidivorans MP
1026970	periphery	Nannospalax galili	Nannospalax galili
1027273	periphery	Endozoicomonas montiporae	Endozoicomonas montiporae
1027292	core	Sporosarcina newyorkensis	Sporosarcina newyorkensis 2681
1027371	periphery	Gordonia alkanivorans	Gordonia alkanivorans NBRC 16433
1027396	periphery	Listeria monocytogenes Scott	Listeria monocytogenes str. Scott A
1028307	core	Enterobacter aerogenes	Enterobacter aerogenes KCTC 2190
1028800	periphery	Neorhizobium galegae orientalis	Neorhizobium galegae bv. orientalis str. HAMBI 540
1028801	periphery	Neorhizobium galegae officinalis	Neorhizobium galegae bv. officinalis bv. officinalis str. HAMBI 1141
1028803	periphery	Haemophilus haemolyticus M19501	Haemophilus haemolyticus M19501
1028805	periphery	Haemophilus haemolyticus M21621	Haemophilus haemolyticus M21621
1028806	periphery	Haemophilus haemolyticus M21639	Haemophilus haemolyticus M21639
1029718	core	Arthromitus sp. SFBmouseJapan	Candidatus Arthromitus sp. SFB-mouse-Japan
1029823	periphery	Acinetobacter sp. P838	Acinetobacter sp. P8-3-8
1029824	periphery	Kocuria rhizophila P74	Kocuria rhizophila P7-4
1030157	periphery	Sphingomonas sp. KC8	Sphingomonas sp. KC8
1031288	core	Caloramator sp. ALD01	Caloramator sp. ALD01
1031711	periphery	Ralstonia solanacearum Po82	Ralstonia solanacearum Po82
1032480	core	Microlunatus phosphovorus	Microlunatus phosphovorus NM-1
1033730	periphery	Aeromicrobium massiliense	Aeromicrobium massiliense JC14
1033732	periphery	Alistipes senegalensis	Alistipes senegalensis JC50
1033733	periphery	Anaerococcus senegalensis	Anaerococcus senegalensis JC48
1033734	periphery	Bacillus timonensis	Bacillus timonensis
1033736	core	Brevibacterium senegalense	Brevibacterium senegalense
1033737	periphery	Clostridium senegalense	Clostridium senegalense JC122
1033738	core	Kurthia sp. Dielmo	Kurthia sp. Dielmo
1033739	periphery	Kurthia massiliensis	Kurthia massiliensis
1033740	periphery	Kurthia sp. JC8E	Kurthia sp. JC8E
1033743	periphery	Paenibacillus senegalensis	Paenibacillus senegalensis JC66
1033744	periphery	Peptoniphilus senegalensis	Peptoniphilus senegalensis JC140
1033802	core	Salinisphaera shabanensis	Salinisphaera shabanensis E1L3A
