id	name	pathway_neuroexclusivity
1	ENSP00000261837	0.5294117647058824
2	ENSP00000297323	0.1836734693877551
3	ENSP00000342952	0.1702127659574468
4	ENSP00000260600	0.1836734693877551
5	ENSP00000419361	0.2692307692307692
6	ENSP00000311405	0.1836734693877551
7	ENSP00000378187	0.17391304347826086
8	ENSP00000286355	0.20833333333333334
9	ENSP00000294016	0.16326530612244897
10	ENSP00000355155	0.8571428571428571
11	ENSP00000234389	0.8571428571428571
12	ENSP00000382434	0.2727272727272727
13	ENSP00000312262	0.5
14	ENSP00000317578	0.5
15	ENSP00000382428	1
16	ENSP00000312126	0.19148936170212766
17	ENSP00000469689	1
18	ENSP00000338185	0.24528301886792453
19	ENSP00000316909	1
20	ENSP00000380442	0.2727272727272727
21	ENSP00000310447	0.375
22	ENSP00000317379	0.375
23	ENSP00000307900	0.25
24	ENSP00000343027	0.358974358974359
25	ENSP00000312999	0.358974358974359
26	ENSP00000358867	0.358974358974359
27	ENSP00000262494	0.5789473684210527
28	ENSP00000286548	0.3023255813953488
29	ENSP00000360141	0.22916666666666666
30	ENSP00000481878	0.5789473684210527
31	ENSP00000305260	0.5294117647058824
32	ENSP00000229264	0.5555555555555556
33	ENSP00000294117	0.5294117647058824
34	ENSP00000375727	0.5294117647058824
35	ENSP00000359675	0.5294117647058824
36	ENSP00000371594	0.5555555555555556
37	ENSP00000363411	0.5294117647058824
38	ENSP00000248564	0.5294117647058824
39	ENSP00000248572	0.5555555555555556
40	ENSP00000426022	0.5294117647058824
41	ENSP00000290472	0.2727272727272727
42	ENSP00000428994	0.9090909090909091
43	ENSP00000296526	0.9166666666666666
44	ENSP00000481554	0.8888888888888888
45	ENSP00000282499	0.875
46	ENSP00000382791	1
47	ENSP00000397026	1
48	ENSP00000362183	1
49	ENSP00000435648	1
50	ENSP00000262895	1
51	ENSP00000360608	0.7333333333333333
52	ENSP00000379818	0.6875
53	ENSP00000477455	0.75
54	ENSP00000293190	0.8333333333333334
55	ENSP00000263269	0.8333333333333334
56	ENSP00000354896	0.5454545454545454
57	ENSP00000378492	0.75
58	ENSP00000355316	0.75
59	ENSP00000440556	0.75
60	ENSP00000306138	0.625
61	ENSP00000231188	0.6666666666666666
62	ENSP00000350348	0.6666666666666666
63	ENSP00000344173	0.6666666666666666
64	ENSP00000306253	0.29545454545454547
65	ENSP00000370744	0.2682926829268293
66	ENSP00000363435	0.29545454545454547
67	ENSP00000295101	0.9
68	ENSP00000293441	1
69	ENSP00000248150	0.5789473684210527
70	ENSP00000356436	0.2727272727272727
71	ENSP00000260402	0.25925925925925924
