id	name	signal
1	ENSP00000265686	0.1
2	ENSP00000367756	1
3	ENSP00000352544	1
4	ENSP00000305613	1
5	ENSP00000215095	0.5
6	ENSP00000292807	0.5
7	ENSP00000263270	0.5
8	ENSP00000242285	0.3333333333333333
9	ENSP00000309415	0.3333333333333333
10	ENSP00000479606	0.3333333333333333
11	ENSP00000281087	0.1111111111111111
12	ENSP00000217420	1
13	ENSP00000411672	0.125
14	ENSP00000351926	0.5
15	ENSP00000327694	0.5
16	ENSP00000482835	0.5
17	ENSP00000362014	0.2
18	ENSP00000373905	0.16666666666666666
19	ENSP00000376178	0.5
20	ENSP00000428417	1
21	ENSP00000429562	1
22	ENSP00000332247	0.1
23	ENSP00000285393	0.09090909090909091
24	ENSP00000272238	0.1111111111111111
25	ENSP00000316909	1
26	ENSP00000356705	0.2
27	ENSP00000299721	1
28	ENSP00000260323	1
29	ENSP00000381293	0.6666666666666666
30	ENSP00000308122	0.1
31	ENSP00000216442	0.1111111111111111
32	ENSP00000352522	0.1
33	ENSP00000273398	0.1111111111111111
34	ENSP00000234396	0.1111111111111111
35	ENSP00000276390	0.1111111111111111
36	ENSP00000329757	0.1
37	ENSP00000379203	0.1111111111111111
38	ENSP00000253413	0.1111111111111111
39	ENSP00000434729	0.1111111111111111
40	ENSP00000302194	0.1111111111111111
41	ENSP00000264649	0.1
42	ENSP00000221485	1
43	ENSP00000263160	1
44	ENSP00000222256	0.5
45	ENSP00000378464	1
46	ENSP00000270349	1
47	ENSP00000387549	1
48	ENSP00000298472	1
49	ENSP00000363229	1
50	ENSP00000254976	0.5
51	ENSP00000222812	0.5
52	ENSP00000338562	0.5
53	ENSP00000362399	1
54	ENSP00000314214	0.2
55	ENSP00000261205	1
56	ENSP00000353362	0.7857142857142857
57	ENSP00000360423	0.7272727272727273
58	ENSP00000441158	0.3333333333333333
59	ENSP00000263354	1
60	ENSP00000429690	0.125
61	ENSP00000304891	0.1111111111111111
62	ENSP00000290949	0.09090909090909091
63	ENSP00000363162	0.1111111111111111
64	ENSP00000261837	0.5294117647058824
65	ENSP00000297323	0.1836734693877551
66	ENSP00000342952	0.1702127659574468
67	ENSP00000260600	0.1836734693877551
68	ENSP00000419361	0.2692307692307692
69	ENSP00000311405	0.1836734693877551
70	ENSP00000378187	0.17391304347826086
71	ENSP00000286355	0.20833333333333334
72	ENSP00000294016	0.16326530612244897
73	ENSP00000355155	0.8571428571428571
74	ENSP00000234389	0.8571428571428571
75	ENSP00000382434	0.2727272727272727
76	ENSP00000312262	0.5
77	ENSP00000317578	0.5
78	ENSP00000382428	1
79	ENSP00000312126	0.19148936170212766
80	ENSP00000469689	1
81	ENSP00000338185	0.24528301886792453
82	ENSP00000380442	0.2727272727272727
83	ENSP00000310447	0.375
84	ENSP00000317379	0.375
85	ENSP00000307900	0.25
86	ENSP00000343027	0.358974358974359
87	ENSP00000312999	0.358974358974359
88	ENSP00000358867	0.358974358974359
89	ENSP00000262494	0.5789473684210527
90	ENSP00000286548	0.3023255813953488
91	ENSP00000360141	0.22916666666666666
92	ENSP00000481878	0.5789473684210527
93	ENSP00000305260	0.5294117647058824
94	ENSP00000229264	0.5555555555555556
95	ENSP00000294117	0.5294117647058824
96	ENSP00000375727	0.5294117647058824
97	ENSP00000359675	0.5294117647058824
98	ENSP00000371594	0.5555555555555556
99	ENSP00000363411	0.5294117647058824
100	ENSP00000248564	0.5294117647058824
101	ENSP00000248572	0.5555555555555556
102	ENSP00000426022	0.5294117647058824
103	ENSP00000290472	0.2727272727272727
104	ENSP00000428994	0.9090909090909091
105	ENSP00000296526	0.9166666666666666
106	ENSP00000481554	0.8888888888888888
107	ENSP00000282499	0.875
108	ENSP00000382791	1
109	ENSP00000397026	1
110	ENSP00000362183	1
111	ENSP00000435648	1
112	ENSP00000262895	1
113	ENSP00000360608	0.7333333333333333
114	ENSP00000379818	0.6875
115	ENSP00000477455	0.75
116	ENSP00000293190	0.8333333333333334
117	ENSP00000263269	0.8333333333333334
118	ENSP00000354896	0.5454545454545454
119	ENSP00000378492	0.75
120	ENSP00000355316	0.75
121	ENSP00000440556	0.75
122	ENSP00000306138	0.625
123	ENSP00000231188	0.6666666666666666
124	ENSP00000350348	0.6666666666666666
125	ENSP00000344173	0.6666666666666666
126	ENSP00000306253	0.29545454545454547
127	ENSP00000370744	0.2682926829268293
128	ENSP00000363435	0.29545454545454547
129	ENSP00000295101	0.9
130	ENSP00000293441	1
131	ENSP00000248150	0.5789473684210527
132	ENSP00000356436	0.2727272727272727
133	ENSP00000260402	0.25925925925925924
134	ENSP00000443631	0.24528301886792453
135	ENSP00000367762	0.24528301886792453
136	ENSP00000342793	0.15384615384615385
137	ENSP00000263088	0.15384615384615385
138	ENSP00000334448	0.5294117647058824
139	ENSP00000378323	0.26666666666666666
140	ENSP00000378306	0.26666666666666666
141	ENSP00000380878	0.26666666666666666
